질문,정답,예제1,예제2,예제3,예제4
고조선을 세운 인물은 누구인가요?,1,단군왕검,온조,박혁거세,주몽
훈민정음을 창제한 왕은 누구인가요?,1,세종대왕,태조,영조,정조
삼국을 통일한 나라는 어디인가요?,1,신라,백제,가야,고구려
고구려의 영토를 크게 넓힌 왕은 누구인가요?,2,장수왕,광개토대왕,고국천왕,소수림왕
발해를 세운 인물은 누구인가요?,3,궁예,견훤,대조영,왕건
고려를 세운 인물은 누구인가요?,4,궁예,이성계,견훤,왕건
조선을 세운 인물은 누구인가요?,1,이성계,이방원,최영,정몽주
살수대첩에서 수나라 군대를 물리친 장수는 누구인가요?,1,을지문덕,윤관,김유신,강감찬
귀주대첩에서 거란을 물리친 장수는 누구인가요?,3,서희,김종서,강감찬,을지문덕
한산도 대첩을 이끈 장군은 누구인가요?,4,김시민,권율,곽재우,이순신
몽골의 침입을 이겨 내려는 마음으로 만든 불교 문화재는 무엇인가요?,3,동의보감,삼국사기,팔만대장경,직지심체요절
병자호란 때 조선이 맞서 싸운 나라는 어디인가요?,2,러시아,청,일본,명
동학 농민 운동을 이끈 인물은 누구인가요?,1,전봉준,김옥균,홍경래,최제우
3·1 운동이 일어난 해는 언제인가요?,4,1926년,1910년,1945년,1919년
대한민국 임시 정부가 처음 세워진 도시는 어디인가요?,3,워싱턴,서울,상하이,블라디보스토크
이승만 정권을 무너뜨린 학생 중심의 민주화 운동은 무엇인가요?,3,3·1 운동,5·18 민주화 운동,4·19 혁명,6월 민주 항쟁
고려청자가 만들어진 시대는 언제인가요?,3,통일신라 시대,삼국 시대,고려 시대,조선 시대
물이 어는 온도는 몇 도인가요?,3,100도,10도,0도,50도
식물이 광합성을 할 때 빨아들이는 기체는 무엇인가요?,2,산소,이산화탄소,질소,수소
식물이 광합성으로 내보내는 기체는 무엇인가요?,1,산소,헬륨,이산화탄소,수소
태양계에서 가장 큰 행성은 무엇인가요?,1,목성,화성,지구,토성
지구가 태양 둘레를 한 바퀴 도는 데 걸리는 시간은 얼마인가요?,4,한 달,하루,십 년,일 년
원소 기호 O가 나타내는 원소는 무엇인가요?,2,수소,산소,질소,탄소
온몸으로 피를 내보내는 기관은 무엇인가요?,2,폐,심장,콩팥,간
전류의 세기를 나타내는 단위는 무엇인가요?,1,암페어,옴,볼트,와트
물체를 지구 중심으로 끌어당기는 힘은 무엇인가요?,4,마찰력,자기력,탄성력,중력
산성 용액에 푸른 리트머스 종이를 넣으면 무슨 색으로 변하나요?,4,변하지 않는다,노란색,파란색,붉은색
세포에서 유전 정보를 담고 있는 부분은 어디인가요?,2,세포막,핵,엽록체,미토콘드리아
고체가 액체를 거치지 않고 바로 기체로 변하는 현상은 무엇인가요?,4,융해,기화,응고,승화
마그마가 지표로 뿜어져 나와 만들어진 지형은 무엇인가요?,4,갯벌,사막,빙하,화산
빛이 서로 다른 물질의 경계에서 꺾이는 현상은 무엇인가요?,1,굴절,분산,반사,흡수
물질의 세 가지 상태에 들어가지 않는 것은 무엇인가요?,1,플라스마,기체,액체,고체
소리가 전달되지 않는 곳은 어디인가요?,2,금속 속,진공,공기 중,물속
스스로 빛을 내는 천체는 무엇인가요?,3,위성,혜성,항성,행성
~처럼 이나 ~같이 를 써서 두 대상을 견주는 표현법은 무엇인가요?,2,의인법,직유법,은유법,반어법
내 마음은 호수요 에 쓰인 표현법은 무엇인가요?,4,직유법,과장법,대구법,은유법
사람이 아닌 것을 사람처럼 나타내는 표현법은 무엇인가요?,2,역설법,의인법,직유법,반어법
시조 한 수는 몇 장으로 이루어지나요?,4,4장,2장,5장,3장
홍길동전을 지은 사람은 누구인가요?,4,박지원,김만중,정약용,허균
문장에서 동작이나 상태의 주체를 나타내는 성분은 무엇인가요?,1,주어,보어,서술어,목적어
소리를 흉내 낸 말을 무엇이라고 하나요?,2,감탄사,의성어,의태어,관형사
모양이나 움직임을 흉내 낸 말을 무엇이라고 하나요?,3,부사,조사,의태어,의성어
소리는 같지만 뜻이 다른 낱말을 무엇이라고 하나요?,2,높임말,동음이의어,유의어,반의어
하나의 낱말이 여러 가지 뜻을 지니는 것을 무엇이라고 하나요?,1,다의어,신조어,외래어,고유어
다음 가운데 품사가 명사인 것은 무엇인가요?,3,매우,예쁘다,하늘,달리다
어떤 대상을 알기 쉽게 풀어 알려 주려고 쓴 글은 무엇인가요?,2,논설문,설명문,전기문,기행문
자기 주장을 내세워 읽는 이를 설득하려고 쓴 글은 무엇인가요?,3,희곡,설명문,논설문,수필
글쓴이가 실제로 다녀온 곳에서 보고 듣고 느낀 점을 적은 글은 무엇인가요?,3,논설문,설명문,기행문,일기문
옛날부터 전해 내려오는 짧고 교훈이 담긴 말을 무엇이라 하나요?,2,기행문,속담,수필,설명문
웃어른을 공경하는 뜻을 나타내는 우리말 표현을 무엇이라 하나요?,4,이어 주는 말,줄임 표현,흉내내는 말,높임 표현
