질문,정답,예제1,예제2,예제3,예제4
고조선을 세운 인물은 누구인가요?,단군왕검,주몽,단군왕검,박혁거세,온조
훈민정음을 창제한 왕은 누구인가요?,세종대왕,태조,세종대왕,정조,영조
삼국을 통일한 나라는 어디인가요?,신라,고구려,백제,신라,가야
고구려의 영토를 크게 넓힌 왕은 누구인가요?,광개토대왕,장수왕,광개토대왕,소수림왕,고국천왕
발해를 세운 인물은 누구인가요?,대조영,대조영,궁예,견훤,왕건
고려를 세운 인물은 누구인가요?,2,이성계,왕건,견훤,궁예
조선을 세운 인물은 누구인가요?,이성계,정몽주,이성계,이방원,최영
살수대첩에서 수나라 군대를 물리친 장수는 누구인가요?,을지문덕,을지문덕,강감찬,김유신,윤관
귀주대첩에서 거란을 물리친 장수는 누구인가요?,강감찬,을지문덕,강감찬,서희,김종서
한산도 대첩을 이끈 장군은 누구인가요?,이순신,권율,이순신,곽재우,김시민
몽골의 침입을 이겨 내려는 마음으로 만든 불교 문화재는 무엇인가요?,팔만대장경,직지심체요절,팔만대장경,삼국사기,동의보감
병자호란 때 조선이 맞서 싸운 나라는 어디인가요?,청,명,청,일본,러시아
동학 농민 운동을 이끈 인물은 누구인가요?,전봉준,전봉준,김옥균,최제우,홍경래
3·1 운동이 일어난 해는 언제인가요?,1919년,1910년,1919년,1926년,1945년
대한민국 임시 정부가 처음 세워진 도시는 어디인가요?,상하이,서울,상하이,블라디보스토크,워싱턴
이승만 정권을 무너뜨린 학생 중심의 민주화 운동은 무엇인가요?,4·19 혁명,3·1 운동,4·19 혁명,5·18 민주화 운동,6월 민주 항쟁
고려청자는 조선 시대에 만들어진 도자기이다,X,O,X,,
물이 어는 온도는 몇 도인가요?,0도,0도,10도,50도,100도
식물이 광합성을 할 때 빨아들이는 기체는 무엇인가요?,이산화탄소,산소,이산화탄소,질소,수소
식물이 광합성으로 내보내는 기체는 무엇인가요?,산소,산소,이산화탄소,수소,헬륨
태양계에서 가장 큰 행성은 무엇인가요?,목성,지구,화성,목성,토성
지구가 태양 둘레를 한 바퀴 도는 데 걸리는 시간은 얼마인가요?,일 년,하루,한 달,일 년,십 년
원소 기호 O가 나타내는 원소는 무엇인가요?,산소,수소,산소,탄소,질소
온몸으로 피를 내보내는 기관은 무엇인가요?,심장,폐,심장,간,콩팥
전류의 세기를 나타내는 단위는 무엇인가요?,암페어,볼트,암페어,와트,옴
물체를 지구 중심으로 끌어당기는 힘은 무엇인가요?,중력,마찰력,중력,탄성력,자기력
산성 용액에 푸른 리트머스 종이를 넣으면 무슨 색으로 변하나요?,붉은색,붉은색,파란색,노란색,변하지 않는다
세포에서 유전 정보를 담고 있는 부분은 어디인가요?,핵,핵,세포막,미토콘드리아,엽록체
고체가 액체를 거치지 않고 바로 기체로 변하는 현상은 무엇인가요?,승화,융해,기화,승화,응고
마그마가 지표로 뿜어져 나와 만들어진 지형은 무엇인가요?,화산,빙하,화산,사막,갯벌
빛이 서로 다른 물질의 경계에서 꺾이는 현상은 무엇인가요?,굴절,반사,굴절,분산,흡수
물질의 세 가지 상태에 들어가지 않는 것은 무엇인가요?,플라스마,고체,액체,플라스마,
소리는 공기가 없는 곳에서도 전달된다,X,O,X,,
달은 스스로 빛을 내는 천체이다,X,O,X,,
~처럼 이나 ~같이 를 써서 두 대상을 견주는 표현법은 무엇인가요?,직유법,직유법,은유법,의인법,반어법
내 마음은 호수요 에 쓰인 표현법은 무엇인가요?,은유법,직유법,은유법,과장법,대구법
사람이 아닌 것을 사람처럼 나타내는 표현법은 무엇인가요?,1,의인법,직유법,반어법,역설법
시조 한 수는 몇 장으로 이루어지나요?,3장,2장,3장,4장,5장
홍길동전을 지은 사람은 누구인가요?,허균,김만중,허균,박지원,정약용
문장에서 동작이나 상태의 주체를 나타내는 성분은 무엇인가요?,주어,주어,서술어,목적어,보어
소리를 흉내 낸 말을 무엇이라고 하나요?,의성어,의성어,의태어,감탄사,관형사
모양이나 움직임을 흉내 낸 말을 무엇이라고 하나요?,의태어,의성어,의태어,부사,조사
소리는 같지만 뜻이 다른 낱말을 무엇이라고 하나요?,동음이의어,유의어,반의어,동음이의어,높임말
하나의 낱말이 여러 가지 뜻을 지니는 것을 무엇이라고 하나요?,다의어,다의어,고유어,외래어,신조어
다음 가운데 품사가 명사인 것은 무엇인가요?,하늘,하늘,달리다,예쁘다,매우
어떤 대상을 알기 쉽게 풀어 알려 주려고 쓴 글은 무엇인가요?,설명문,설명문,논설문,기행문,전기문
자기 주장을 내세워 읽는 이를 설득하려고 쓴 글은 무엇인가요?,2,설명문,논설문,수필,희곡
글쓴이가 실제로 다녀온 곳에서 보고 듣고 느낀 점을 적은 글은 무엇인가요?,기행문,기행문,논설문,설명문,
속담은 옛날부터 전해 내려오는 짧고 교훈이 담긴 말이다,O,O,X,,
우리말에는 웃어른을 높이는 높임 표현이 있다,O,O,X,,
