질문,정답,예제1,예제2,예제3,예제4
대한민국의 수도는?,서울,서울,부산,대구,인천
지구는 둥글다,O,O,X,,
1+1은?,2,1,2,3,4
한글을 창제한 왕은?,세종대왕,태조,세종대왕,영조,정조
물의 화학식은?,H2O,CO2,H2O,O2,NaCl
태양계에서 가장 큰 행성은?,목성,지구,화성,목성,금성
우리나라 국기의 이름은?,태극기,성조기,태극기,일장기,오성홍기
3×4는?,12,7,10,12,14
식물이 빛으로 양분을 만드는 과정은?,광합성,호흡,증발,광합성,발효
세계에서 가장 큰 대양은?,태평양,대서양,인도양,태평양,북극해
훈민정음은 조선 시대에 만들어졌다,O,O,X,,
대한민국의 화폐 단위는?,원,달러,엔,원,유로
5의 제곱은?,25,10,15,20,25
얼음이 녹으면 무엇이 되는가?,물,수증기,물,소금,공기
무지개의 색은 보통 몇 가지로 구분하는가?,7,5,6,7,8
한반도 동쪽의 바다는?,동해,서해,남해,동해,황해
사람이 숨 쉴 때 필요한 기체는?,산소,질소,산소,이산화탄소,수소
1000미터는 1킬로미터이다,O,O,X,,
봄 다음 계절은?,여름,겨울,가을,여름,봄
사과는 과일이다,O,O,X,,
우리 몸에서 피를 순환시키는 기관은?,심장,폐,위,심장,간
직각은 몇 도인가?,90,45,60,90,180
태양은 별이다,O,O,X,,
대한민국은 아시아에 있다,O,O,X,,
곤충의 다리는 보통 몇 개인가?,6,4,6,8,10
달은 지구 주위를 돈다,O,O,X,,
물이 끓는 온도는 표준 기압에서 몇 도인가?,100,0,50,100,200
우리말의 자음과 모음을 합쳐 만든 문자는?,한글,한자,영어,한글,로마자
삼각형의 변은 몇 개인가?,3,2,3,4,5
북극곰은 남극에 산다,X,O,X,,
지구의 위성은?,달,태양,달,화성,금성
10÷2는?,5,2,4,5,10
세종대왕은 조선의 왕이다,O,O,X,,
바닷물은 민물보다 소금기가 많다,O,O,X,,
1년은 보통 몇 달인가?,12,10,11,12,13
대한민국의 국화는?,무궁화,장미,국화,무궁화,진달래
네모의 네 각이 모두 직각인 도형은?,직사각형,삼각형,원,직사각형,오각형
고래는 물고기다,X,O,X,,
소리가 전달되지 않는 곳은?,진공,공기,물,철,진공
지구가 한 바퀴 자전하는 데 걸리는 시간은?,24시간,12시간,24시간,30일,365일
